
Epoch 0 --> 0/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.227294, L_CE=0.376016, Now=17:58:15
Epoch 0 --> 0/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.183408, L_CE=0.313738, Now=18:00:07
Epoch 0 --> 0/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.166793, L_CE=0.289435, Now=18:01:59
Epoch 0 --> 0/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.154082, L_CE=0.270598, Now=18:03:51
Epoch 0 --> 0/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.145576, L_CE=0.257896, Now=18:05:42
Epoch 0 --> 1/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.227573, L_CE=0.412850, Now=18:07:47
Epoch 0 --> 1/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.175121, L_CE=0.320296, Now=18:09:37
Epoch 0 --> 1/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.155795, L_CE=0.285769, Now=18:11:28
Epoch 0 --> 1/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.145653, L_CE=0.267668, Now=18:13:19
Epoch 0 --> 1/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.139290, L_CE=0.256293, Now=18:15:10
Epoch 0 --> 2/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.112871, L_CE=0.209035, Now=18:17:15
Epoch 0 --> 2/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.111853, L_CE=0.207442, Now=18:19:06
Epoch 0 --> 2/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.111236, L_CE=0.206391, Now=18:20:58
Epoch 0 --> 2/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.111082, L_CE=0.206085, Now=18:22:50
Epoch 0 --> 2/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.110817, L_CE=0.205690, Now=18:24:42
Epoch 0 --> 3/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.109165, L_CE=0.203008, Now=18:26:46
Epoch 0 --> 3/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.108425, L_CE=0.201730, Now=18:28:38
Epoch 0 --> 3/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.108069, L_CE=0.201071, Now=18:30:31
Epoch 0 --> 3/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.107481, L_CE=0.199965, Now=18:32:23
Epoch 0 --> 3/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.107141, L_CE=0.199262, Now=18:34:14
Epoch 0 --> 4/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.104797, L_CE=0.194531, Now=18:36:20
Epoch 0 --> 4/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.104767, L_CE=0.194623, Now=18:38:12
Epoch 0 --> 4/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.104576, L_CE=0.194349, Now=18:40:04
Epoch 0 --> 4/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.104484, L_CE=0.194140, Now=18:41:56
Epoch 0 --> 4/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.104394, L_CE=0.193986, Now=18:43:48
Epoch 0 --> 5/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.103706, L_CE=0.192719, Now=18:45:54
Epoch 0 --> 5/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.102995, L_CE=0.191565, Now=18:47:46
Epoch 0 --> 5/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.102303, L_CE=0.190608, Now=18:49:38
Epoch 0 --> 5/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.101404, L_CE=0.189229, Now=18:51:31
Epoch 0 --> 5/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.100502, L_CE=0.187740, Now=18:53:22
Epoch 0 --> 6/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.095190, L_CE=0.179148, Now=18:55:26
Epoch 0 --> 6/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.094408, L_CE=0.178196, Now=18:57:18
Epoch 0 --> 6/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.093558, L_CE=0.176950, Now=18:59:10
Epoch 0 --> 6/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.092842, L_CE=0.175711, Now=19:01:02
Epoch 0 --> 6/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.092407, L_CE=0.175001, Now=19:02:54
