
Epoch 0 --> 0/200, i= 500/2500, -3.00dB/120Hz, Tr_BER=0.474521, L_CE=0.659492, Now=11:13:01
Epoch 0 --> 0/200, i=1000/2500, -3.00dB/120Hz, Tr_BER=0.337210, L_CE=0.500353, Now=11:14:36
Epoch 0 --> 0/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.282376, L_CE=0.431940, Now=11:16:10
Epoch 0 --> 0/200, i=2000/2500, -3.00dB/120Hz, Tr_BER=0.247237, L_CE=0.386513, Now=11:17:45
Epoch 0 --> 0/200, i=2500/2500, -3.00dB/120Hz, Tr_BER=0.225739, L_CE=0.358582, Now=11:19:20
Epoch 0 --> 1/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.154347, L_CE=0.286915, Now=11:21:02
Epoch 0 --> 1/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.146454, L_CE=0.267869, Now=11:22:25
Epoch 0 --> 1/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.143358, L_CE=0.260434, Now=11:23:58
Epoch 0 --> 1/200, i=2000/2500, -3.00dB/120Hz, Tr_BER=0.141550, L_CE=0.256167, Now=11:25:25
Epoch 0 --> 1/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.140356, L_CE=0.253361, Now=11:26:58
Epoch 0 --> 2/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.135620, L_CE=0.242039, Now=11:28:34
Epoch 0 --> 2/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.134911, L_CE=0.240695, Now=11:30:07
Epoch 0 --> 2/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.134339, L_CE=0.239653, Now=11:31:41
Epoch 0 --> 2/200, i=2000/2500, -3.00dB/120Hz, Tr_BER=0.133826, L_CE=0.238902, Now=11:33:15
Epoch 0 --> 2/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.133457, L_CE=0.238332, Now=11:34:49
Epoch 0 --> 3/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.130177, L_CE=0.232461, Now=11:36:29
Epoch 0 --> 3/200, i=1000/2500, -3.00dB/120Hz, Tr_BER=0.129922, L_CE=0.231982, Now=11:38:01
Epoch 0 --> 3/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.129908, L_CE=0.231784, Now=11:39:33
Epoch 0 --> 3/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.129805, L_CE=0.231539, Now=11:41:06
Epoch 0 --> 3/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.129591, L_CE=0.231079, Now=11:42:38
Epoch 0 --> 4/200, i= 500/2500, -3.00dB/120Hz, Tr_BER=0.127658, L_CE=0.227840, Now=11:44:17
Epoch 0 --> 4/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.124885, L_CE=0.223964, Now=11:45:48
Epoch 0 --> 4/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.121346, L_CE=0.218662, Now=11:47:23
